,results.years,tax_step
1,2023,24.145
2,2024,24.145
3,2025,24.145
4,2026,24.145
5,2027,24.145
6,2028,39.61
7,2029,39.61
8,2030,39.61
9,2031,39.61
10,2032,39.61
11,2033,55.075
12,2034,55.075
13,2035,55.075
14,2036,55.075
15,2037,55.075
16,2038,70.54
17,2039,70.54
18,2040,70.54
19,2041,70.54
20,2042,70.54
21,2043,86.005
22,2044,86.005
23,2045,86.005
24,2046,86.005
25,2047,86.005
26,2048,101.47
27,2049,101.47
28,2050,101.47
