quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-9361.0,-7520.0,-7762.0,-7469.0,-10173.0,-9778.0,-7289.0,-12312.0,-7269.0
total insurance costs [$],951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0
total maintenance costs [$],-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0
total costs [$],-7791.0,-4966.0,14086.0,-11103.0,-15484.0,-23396.0,-9093.0,-16216.0,-11667.0
total future costs [$],-21059.0,-19218.0,-19459.0,-19167.0,-21870.0,-21476.0,-18987.0,-24009.0,-18967.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-7246.0,-5821.0,-6008.0,-5782.0,-7874.0,-7568.0,-5642.0,-9530.0,-5627.0
total present value insurance costs [$],735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0
total present value maintenance costs [$],-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0
total present value costs [$],-4370.0,-1961.0,17146.0,-8109.0,-11880.0,-19880.0,-6140.0,-12129.0,-8719.0
total present value future costs [$],-17638.0,-16213.0,-16400.0,-16173.0,-18266.0,-17960.0,-16034.0,-19922.0,-16019.0
total emissions [tCO$_2$-eq.],3.789999999999999,4.869999999999997,2.009999999999998,7.380000000000003,6.049999999999997,4.390000000000001,18.220000000000006,2.1400000000000006,3.4299999999999997
