quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-12615.0,-10152.0,-10351.0,-10182.0,-13835.0,-13217.0,-10493.0,-16558.0,-9765.0
total insurance costs [$],951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0
total maintenance costs [$],-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0
total costs [$],-11045.0,-7597.0,11497.0,-13816.0,-19146.0,-26834.0,-12297.0,-20463.0,-14163.0
total future costs [$],-24313.0,-21850.0,-22048.0,-21880.0,-25532.0,-24914.0,-22191.0,-28256.0,-21463.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-9764.0,-7858.0,-8012.0,-7882.0,-10709.0,-10231.0,-8123.0,-12818.0,-7559.0
total present value insurance costs [$],735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0
total present value maintenance costs [$],-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0
total present value costs [$],-6888.0,-3997.0,15141.0,-10210.0,-14715.0,-22543.0,-8620.0,-15416.0,-10650.0
total present value future costs [$],-20156.0,-18250.0,-18404.0,-18274.0,-21101.0,-20623.0,-18514.0,-23209.0,-17950.0
total emissions [tCO$_2$-eq.],-35.44,-27.18,-27.270000000000003,-27.439999999999998,-40.370000000000005,-37.82,-32.42,-48.5,-26.119999999999997
