quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0
total operations costs [$],-12107.0,-9719.0,-10086.0,-9609.0,-13101.0,-12628.0,-9135.0,-15937.0,-9415.0
total insurance costs [$],1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0
total maintenance costs [$],-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0
total costs [$],-8442.0,-5070.0,13856.0,-11150.0,-16320.0,-24152.0,-8845.0,-17747.0,-11719.0
total future costs [$],-21710.0,-19322.0,-19690.0,-19213.0,-22705.0,-22232.0,-18739.0,-25540.0,-19019.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0
total present value operations costs [$],-9045.0,-7261.0,-7535.0,-7179.0,-9788.0,-9434.0,-6825.0,-11906.0,-7034.0
total present value insurance costs [$],825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0
total present value maintenance costs [$],-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0
total present value costs [$],-3804.0,-1036.0,17983.0,-7143.0,-11430.0,-19382.0,-4958.0,-12141.0,-7762.0
total present value future costs [$],-17072.0,-15288.0,-15563.0,-15206.0,-17815.0,-17462.0,-14852.0,-19934.0,-15062.0
total emissions [tCO$_2$-eq.],-26.92,-19.950000000000003,-21.43,-18.909999999999997,-29.64999999999999,-28.46,-17.440000000000005,-37.910000000000004,-19.84
