quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-11260.0,-9058.0,-9263.0,-9065.0,-12322.0,-11789.0,-9226.0,-14788.0,-8723.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0
total costs [$],-8732.0,-5545.0,13543.0,-11741.0,-16676.0,-24449.0,-10071.0,-17734.0,-12163.0
total future costs [$],-22000.0,-19798.0,-20002.0,-19804.0,-23062.0,-22529.0,-19965.0,-25527.0,-19463.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-8915.0,-7172.0,-7333.0,-7176.0,-9755.0,-9334.0,-7304.0,-11707.0,-6906.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0
total present value costs [$],-5354.0,-2627.0,16504.0,-8821.0,-13078.0,-20961.0,-7117.0,-13622.0,-9314.0
total present value future costs [$],-18622.0,-16879.0,-17041.0,-16884.0,-19463.0,-19041.0,-17011.0,-21415.0,-16614.0
total emissions [tCO$_2$-eq.],-15.18,-10.830000000000002,-11.760000000000002,-10.179999999999996,-16.890000000000004,-16.15,-9.260000000000002,-22.039999999999996,-10.760000000000002
