quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0
total operations costs [$],-22206.0,-17840.0,-18418.0,-17713.0,-24126.0,-23194.0,-17263.0,-29208.0,-17246.0
total insurance costs [$],1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0
total maintenance costs [$],-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0
total costs [$],-18589.0,-13238.0,5477.0,-19300.0,-27391.0,-34764.0,-17019.0,-31065.0,-19596.0
total future costs [$],-31857.0,-27490.0,-28068.0,-27363.0,-33776.0,-32844.0,-26913.0,-38858.0,-26896.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0
total present value operations costs [$],-16590.0,-13328.0,-13759.0,-13233.0,-18025.0,-17328.0,-12897.0,-21821.0,-12885.0
total present value insurance costs [$],825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0
total present value maintenance costs [$],-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0
total present value costs [$],-11385.0,-7138.0,11723.0,-13232.0,-19701.0,-27311.0,-11065.0,-22090.0,-13647.0
total present value future costs [$],-24653.0,-21390.0,-21822.0,-21296.0,-26087.0,-25391.0,-20959.0,-29883.0,-20947.0
total emissions [tCO$_2$-eq.],-38.3,-29.300000000000004,-29.999999999999996,-29.0,-43.2,-40.8,-32.0,-52.699999999999996,-28.5
