quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0
total operations costs [$],-24591.0,-19816.0,-20026.0,-20015.0,-27148.0,-25824.0,-21400.0,-32236.0,-18994.0
total insurance costs [$],1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0
total maintenance costs [$],-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0
total costs [$],-18413.0,-12653.0,6429.0,-19041.0,-27852.0,-34833.0,-18595.0,-31532.0,-18783.0
total future costs [$],-31681.0,-26905.0,-27116.0,-27104.0,-34238.0,-32913.0,-28489.0,-39325.0,-26083.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-1355.0,-1355.0,-1355.0,-1355.0,-1355.0,-1355.0,-1355.0,-1355.0,-1355.0
total present value operations costs [$],-20776.0,-16742.0,-16919.0,-16910.0,-22936.0,-21818.0,-18080.0,-27235.0,-16047.0
total present value insurance costs [$],1054.0,1054.0,1054.0,1054.0,1054.0,1054.0,1054.0,1054.0,1054.0
total present value maintenance costs [$],-5871.0,-5871.0,-5871.0,-5871.0,-5871.0,-5871.0,-5871.0,-5871.0,-5871.0
total present value costs [$],-13680.0,-8660.0,10455.0,-15018.0,-22721.0,-29909.0,-14357.0,-25614.0,-14918.0
total present value future costs [$],-26948.0,-22913.0,-23090.0,-23081.0,-29107.0,-27989.0,-24251.0,-33407.0,-22218.0
total emissions [tCO$_2$-eq.],-49.4,-38.2,-38.300000000000004,-38.599999999999994,-56.10000000000001,-52.6,-45.3,-67.0,-36.800000000000004
