quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0
total operations costs [$],-12193.0,-9788.0,-10157.0,-9677.0,-13193.0,-12718.0,-9199.0,-16049.0,-9481.0
total insurance costs [$],1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0
total maintenance costs [$],-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0
total costs [$],-8574.0,-5186.0,13738.0,-11264.0,-16458.0,-24288.0,-8956.0,-17907.0,-11832.0
total future costs [$],-21842.0,-19438.0,-19807.0,-19327.0,-22844.0,-22368.0,-18850.0,-25700.0,-19132.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0
total present value operations costs [$],-9109.0,-7313.0,-7588.0,-7230.0,-9858.0,-9501.0,-6873.0,-11991.0,-7084.0
total present value insurance costs [$],825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0
total present value maintenance costs [$],-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0
total present value costs [$],-3903.0,-1122.0,17894.0,-7228.0,-11534.0,-19483.0,-5041.0,-12260.0,-7846.0
total present value future costs [$],-17171.0,-15375.0,-15651.0,-15292.0,-17920.0,-17563.0,-14935.0,-20053.0,-15146.0
total emissions [tCO$_2$-eq.],-27.1,-20.200000000000003,-21.599999999999998,-19.0,-29.9,-28.700000000000003,-17.5,-38.199999999999996,-20.0
