quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-18218.0,-14680.0,-14837.0,-14828.0,-20113.0,-19131.0,-15854.0,-23882.0,-14071.0
total insurance costs [$],951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0
total maintenance costs [$],-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0
total costs [$],-16648.0,-12125.0,7012.0,-18462.0,-25424.0,-32749.0,-17658.0,-27786.0,-18469.0
total future costs [$],-29916.0,-26378.0,-26533.0,-26526.0,-31809.0,-30829.0,-27552.0,-35579.0,-25769.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-14102.0,-11363.0,-11483.0,-11478.0,-15568.0,-14808.0,-12272.0,-18486.0,-10891.0
total present value insurance costs [$],735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0
total present value maintenance costs [$],-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0
total present value costs [$],-11226.0,-7503.0,11670.0,-13805.0,-19574.0,-27120.0,-12770.0,-21085.0,-13984.0
total present value future costs [$],-24494.0,-21755.0,-21875.0,-21869.0,-25960.0,-25200.0,-22664.0,-28878.0,-21284.0
total emissions [tCO$_2$-eq.],-35.44,-27.18,-27.270000000000003,-27.439999999999998,-40.370000000000005,-37.82,-32.42,-48.5,-26.119999999999997
