quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-14420.0,-11606.0,-11833.0,-11640.0,-15815.0,-15109.0,-11996.0,-18929.0,-11163.0
total insurance costs [$],1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0
total maintenance costs [$],-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0
total costs [$],-13510.0,-9711.0,9355.0,-15934.0,-21788.0,-29387.0,-14459.0,-23494.0,-16221.0
total future costs [$],-26778.0,-23963.0,-24191.0,-23997.0,-28173.0,-27467.0,-24353.0,-31287.0,-23521.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-10966.0,-8826.0,-8999.0,-8852.0,-12027.0,-11490.0,-9122.0,-14395.0,-8489.0
total present value insurance costs [$],781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0
total present value maintenance costs [$],-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0
total present value costs [$],-8535.0,-5410.0,13710.0,-11625.0,-16478.0,-24247.0,-10066.0,-17439.0,-12027.0
total present value future costs [$],-21803.0,-19662.0,-19835.0,-19689.0,-22864.0,-22327.0,-19960.0,-25232.0,-19327.0
total emissions [tCO$_2$-eq.],-41.15,-31.690000000000005,-31.79,-31.989999999999995,-46.78,-43.84,-37.7,-56.06999999999999,-30.47
