quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-15449.0,-12434.0,-12669.0,-12480.0,-16953.0,-16190.0,-12905.0,-20278.0,-11958.0
total insurance costs [$],1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0
total maintenance costs [$],-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0
total costs [$],-14539.0,-10540.0,8520.0,-16774.0,-22926.0,-30468.0,-15368.0,-24842.0,-17015.0
total future costs [$],-27807.0,-24793.0,-25026.0,-24837.0,-29311.0,-28548.0,-25262.0,-32635.0,-24315.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-11748.0,-9457.0,-9634.0,-9490.0,-12893.0,-12312.0,-9813.0,-15420.0,-9093.0
total present value insurance costs [$],781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0
total present value maintenance costs [$],-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0
total present value costs [$],-9318.0,-6041.0,13075.0,-12264.0,-17344.0,-25070.0,-10757.0,-18465.0,-12630.0
total present value future costs [$],-22586.0,-20293.0,-20471.0,-20328.0,-23730.0,-23150.0,-20651.0,-26258.0,-19930.0
total emissions [tCO$_2$-eq.],3.710000000000001,4.949999999999996,1.6799999999999997,7.810000000000002,6.289999999999999,4.3999999999999915,20.199999999999996,1.8299999999999983,3.3000000000000043
