quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-9474.0,-7606.0,-7892.0,-7520.0,-10253.0,-9882.0,-7149.0,-12471.0,-7368.0
total insurance costs [$],951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0
total maintenance costs [$],-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0
total costs [$],-7886.0,-5032.0,13973.0,-11135.0,-15546.0,-23482.0,-8935.0,-16359.0,-11748.0
total future costs [$],-21154.0,-19285.0,-19573.0,-19199.0,-21932.0,-21562.0,-18829.0,-24152.0,-19048.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-7334.0,-5887.0,-6109.0,-5820.0,-7936.0,-7650.0,-5534.0,-9654.0,-5703.0
total present value insurance costs [$],735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0
total present value maintenance costs [$],-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0
total present value costs [$],-4444.0,-2012.0,17058.0,-8135.0,-11929.0,-19947.0,-6017.0,-12239.0,-8781.0
total present value future costs [$],-17712.0,-16265.0,-16488.0,-16199.0,-18314.0,-18027.0,-15911.0,-20032.0,-16081.0
total emissions [tCO$_2$-eq.],-20.1,-14.7,-15.800000000000004,-13.900000000000002,-22.299999999999997,-21.4,-12.700000000000003,-28.699999999999996,-14.600000000000001
