quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-13467.0,-10839.0,-11042.0,-10878.0,-14778.0,-14113.0,-11248.0,-17675.0,-10423.0
total insurance costs [$],951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0
total maintenance costs [$],-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0
total costs [$],-11878.0,-8266.0,10823.0,-14495.0,-20072.0,-27713.0,-13034.0,-21562.0,-14802.0
total future costs [$],-25146.0,-22518.0,-22723.0,-22558.0,-26458.0,-25793.0,-22928.0,-29355.0,-22102.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0
total present value operations costs [$],-11802.0,-9499.0,-9677.0,-9533.0,-12951.0,-12368.0,-9857.0,-15489.0,-9134.0
total present value insurance costs [$],833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0
total present value maintenance costs [$],-4495.0,-4495.0,-4495.0,-4495.0,-4495.0,-4495.0,-4495.0,-4495.0,-4495.0
total present value costs [$],-9513.0,-6226.0,12889.0,-12449.0,-17544.0,-25267.0,-10943.0,-18676.0,-12814.0
total present value future costs [$],-22781.0,-20479.0,-20657.0,-20513.0,-23930.0,-23347.0,-20837.0,-26469.0,-20114.0
total emissions [tCO$_2$-eq.],3.799999999999997,4.799999999999997,2.0,7.399999999999999,6.0,4.399999999999999,18.1,2.1000000000000085,3.3999999999999986
