quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-17317.0,-13912.0,-14363.0,-13814.0,-18814.0,-18087.0,-13462.0,-22777.0,-13449.0
total insurance costs [$],951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0
total maintenance costs [$],-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0
total costs [$],-15746.0,-11357.0,7485.0,-17447.0,-24126.0,-31705.0,-15265.0,-26681.0,-17846.0
total future costs [$],-29014.0,-25610.0,-26061.0,-25511.0,-30512.0,-29785.0,-25159.0,-34474.0,-25146.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-13405.0,-10769.0,-11118.0,-10693.0,-14563.0,-14000.0,-10420.0,-17631.0,-10411.0
total present value insurance costs [$],735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0
total present value maintenance costs [$],-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0
total present value costs [$],-10529.0,-6908.0,12037.0,-13020.0,-18570.0,-26312.0,-10918.0,-20230.0,-13503.0
total present value future costs [$],-23797.0,-21160.0,-21509.0,-21084.0,-24955.0,-24392.0,-20812.0,-28023.0,-20803.0
total emissions [tCO$_2$-eq.],-28.95,-21.87,-22.42,-21.68,-32.69,-30.83,-24.039999999999996,-40.120000000000005,-21.23
