quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-13027.0,-10438.0,-10969.0,-10212.0,-13960.0,-13544.0,-9106.0,-17182.0,-10164.0
total insurance costs [$],1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0
total maintenance costs [$],-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0
total costs [$],-12116.0,-8544.0,10218.0,-14507.0,-19932.0,-27821.0,-11569.0,-21746.0,-15221.0
total future costs [$],-25384.0,-22796.0,-23327.0,-22570.0,-26318.0,-25901.0,-21463.0,-29539.0,-22521.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-9906.0,-7938.0,-8342.0,-7766.0,-10616.0,-10300.0,-6925.0,-13066.0,-7729.0
total present value insurance costs [$],781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0
total present value maintenance costs [$],-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0
total present value costs [$],-7475.0,-4523.0,14367.0,-10540.0,-15068.0,-23056.0,-7868.0,-16111.0,-11266.0
total present value future costs [$],-20743.0,-18775.0,-19178.0,-18603.0,-21454.0,-21136.0,-17762.0,-23904.0,-18566.0
total emissions [tCO$_2$-eq.],-33.72,-25.620000000000005,-26.25,-25.399999999999995,-38.0,-35.86,-28.11,-46.48,-24.88
