quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-9508.0,-7633.0,-7921.0,-7547.0,-10289.0,-9918.0,-7174.0,-12516.0,-7394.0
total insurance costs [$],951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0
total maintenance costs [$],-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0
total costs [$],-7937.0,-5078.0,13927.0,-11180.0,-15601.0,-23535.0,-8978.0,-16421.0,-11792.0
total future costs [$],-21205.0,-19331.0,-19619.0,-19243.0,-21987.0,-21615.0,-18872.0,-24214.0,-19092.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-7360.0,-5908.0,-6131.0,-5841.0,-7964.0,-7676.0,-5553.0,-9688.0,-5723.0
total present value insurance costs [$],735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0
total present value maintenance costs [$],-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0
total present value costs [$],-4483.0,-2048.0,17022.0,-8170.0,-11970.0,-19988.0,-6051.0,-12287.0,-8815.0
total present value future costs [$],-17751.0,-16300.0,-16524.0,-16233.0,-18356.0,-18068.0,-15945.0,-20080.0,-16115.0
total emissions [tCO$_2$-eq.],-20.21,-14.73,-15.900000000000002,-13.919999999999998,-22.35,-21.43,-12.759999999999998,-28.840000000000003,-14.649999999999999
