quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-10061.0,-8097.0,-8256.0,-8121.0,-11034.0,-10542.0,-8370.0,-13207.0,-7788.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0
total costs [$],-7544.0,-4596.0,14539.0,-10809.0,-15400.0,-23214.0,-9227.0,-16166.0,-11240.0
total future costs [$],-20812.0,-18848.0,-19007.0,-18873.0,-21786.0,-21294.0,-19121.0,-23959.0,-18540.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-7966.0,-6410.0,-6536.0,-6430.0,-8736.0,-8346.0,-6626.0,-10456.0,-6166.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0
total present value costs [$],-4414.0,-1875.0,17292.0,-8083.0,-12067.0,-19983.0,-6449.0,-12380.0,-8583.0
total present value future costs [$],-17682.0,-16128.0,-16254.0,-16146.0,-18453.0,-18063.0,-16343.0,-20173.0,-15883.0
total emissions [tCO$_2$-eq.],-27.400000000000002,-20.799999999999997,-20.900000000000002,-21.0,-31.299999999999997,-29.299999999999997,-25.0,-37.8,-19.999999999999996
