quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-7583.0,-6087.0,-6317.0,-6019.0,-8207.0,-7910.0,-5722.0,-9983.0,-5898.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0
total costs [$],-5067.0,-2587.0,16477.0,-8707.0,-12572.0,-20581.0,-6579.0,-12940.0,-9349.0
total future costs [$],-18335.0,-16839.0,-17069.0,-16770.0,-18957.0,-18661.0,-16473.0,-20733.0,-16649.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-6004.0,-4819.0,-5001.0,-4765.0,-6496.0,-6262.0,-4530.0,-7903.0,-4669.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0
total present value costs [$],-2452.0,-284.0,18827.0,-6419.0,-9828.0,-17900.0,-4353.0,-9827.0,-7086.0
total present value future costs [$],-15720.0,-14537.0,-14719.0,-14482.0,-16214.0,-15980.0,-14247.0,-17620.0,-14386.0
total emissions [tCO$_2$-eq.],-15.200000000000003,-10.899999999999999,-11.800000000000004,-10.2,-17.0,-16.2,-9.3,-22.099999999999998,-10.799999999999997
