quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-11796.0,-9495.0,-9673.0,-9529.0,-12945.0,-12362.0,-9853.0,-15483.0,-9130.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0
total costs [$],-9668.0,-6382.0,12734.0,-12605.0,-17698.0,-25421.0,-11098.0,-18829.0,-12969.0
total future costs [$],-22936.0,-20634.0,-20812.0,-20668.0,-24084.0,-23501.0,-20992.0,-26622.0,-20269.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-9339.0,-7517.0,-7658.0,-7544.0,-10248.0,-9787.0,-7801.0,-12258.0,-7228.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3558.0,-3558.0,-3558.0,-3558.0,-3558.0,-3558.0,-3558.0,-3558.0,-3558.0
total present value costs [$],-6095.0,-3288.0,15863.0,-9504.0,-13887.0,-21731.0,-7930.0,-14488.0,-9952.0
total present value future costs [$],-19363.0,-17540.0,-17683.0,-17568.0,-20273.0,-19811.0,-17824.0,-22281.0,-17252.0
total emissions [tCO$_2$-eq.],3.8999999999999986,4.799999999999997,2.4000000000000057,7.0,5.799999999999997,4.399999999999999,16.5,2.4000000000000057,3.5
