quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-14159.0,-11390.0,-11647.0,-11398.0,-15495.0,-14824.0,-11600.0,-18594.0,-10969.0
total insurance costs [$],951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0
total maintenance costs [$],-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0
total costs [$],-12588.0,-8835.0,10201.0,-15032.0,-20807.0,-28442.0,-13404.0,-22499.0,-15366.0
total future costs [$],-25856.0,-23088.0,-23345.0,-23095.0,-27193.0,-26522.0,-23298.0,-30292.0,-22666.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-10959.0,-8817.0,-9015.0,-8822.0,-11994.0,-11475.0,-8979.0,-14393.0,-8490.0
total present value insurance costs [$],735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0
total present value maintenance costs [$],-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0
total present value costs [$],-8083.0,-4956.0,14138.0,-11151.0,-16000.0,-23786.0,-9477.0,-16992.0,-11582.0
total present value future costs [$],-21351.0,-19209.0,-19408.0,-19214.0,-22386.0,-21866.0,-19371.0,-24785.0,-18882.0
total emissions [tCO$_2$-eq.],-20.21,-14.73,-15.900000000000002,-13.919999999999998,-22.35,-21.43,-12.759999999999998,-28.840000000000003,-14.649999999999999
