quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0
total operations costs [$],-11919.0,-9576.0,-9883.0,-9511.0,-12952.0,-12450.0,-9280.0,-15676.0,-9257.0
total insurance costs [$],1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0
total maintenance costs [$],-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0
total costs [$],-8256.0,-4927.0,14058.0,-11051.0,-16171.0,-23974.0,-8991.0,-17487.0,-11560.0
total future costs [$],-21524.0,-19179.0,-19487.0,-19114.0,-22557.0,-22054.0,-18885.0,-25280.0,-18860.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0
total present value operations costs [$],-8905.0,-7154.0,-7383.0,-7105.0,-9677.0,-9301.0,-6934.0,-11712.0,-6916.0
total present value insurance costs [$],825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0
total present value maintenance costs [$],-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0
total present value costs [$],-3664.0,-929.0,18134.0,-7069.0,-11319.0,-19249.0,-5067.0,-11946.0,-7643.0
total present value future costs [$],-16932.0,-15182.0,-15411.0,-15133.0,-17704.0,-17329.0,-14961.0,-19739.0,-14943.0
total emissions [tCO$_2$-eq.],3.6400000000000077,5.009999999999998,1.3800000000000026,8.21,6.510000000000005,4.409999999999997,22.0,1.5300000000000011,3.1799999999999997
