quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-14531.0,-11708.0,-11833.0,-11826.0,-16040.0,-15259.0,-12644.0,-19047.0,-11223.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0
total costs [$],-12014.0,-8207.0,10961.0,-14515.0,-20406.0,-27930.0,-13502.0,-22006.0,-14675.0
total future costs [$],-25282.0,-22460.0,-22585.0,-22578.0,-26792.0,-26010.0,-23396.0,-29799.0,-21975.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-11504.0,-9270.0,-9368.0,-9363.0,-12700.0,-12080.0,-10011.0,-15080.0,-8885.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0
total present value costs [$],-7953.0,-4735.0,14460.0,-11017.0,-16031.0,-23718.0,-9833.0,-17004.0,-11302.0
total present value future costs [$],-21221.0,-18987.0,-19085.0,-19080.0,-22417.0,-21798.0,-19727.0,-24797.0,-18602.0
total emissions [tCO$_2$-eq.],-27.400000000000002,-20.799999999999997,-20.900000000000002,-21.0,-31.299999999999997,-29.299999999999997,-25.0,-37.8,-19.999999999999996
