quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-17257.0,-13863.0,-14312.0,-13764.0,-18748.0,-18023.0,-13415.0,-22697.0,-13402.0
total insurance costs [$],951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0
total maintenance costs [$],-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0
total costs [$],-15668.0,-11290.0,7554.0,-17381.0,-24042.0,-31623.0,-15200.0,-26583.0,-17781.0
total future costs [$],-28936.0,-25543.0,-25992.0,-25445.0,-30428.0,-29703.0,-25094.0,-34376.0,-25081.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-13357.0,-10730.0,-11078.0,-10654.0,-14512.0,-13951.0,-10384.0,-17569.0,-10374.0
total present value insurance costs [$],735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0
total present value maintenance costs [$],-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0
total present value costs [$],-10467.0,-6856.0,12090.0,-12969.0,-18504.0,-26249.0,-10868.0,-20153.0,-13452.0
total present value future costs [$],-23735.0,-21108.0,-21456.0,-21032.0,-24890.0,-24329.0,-20762.0,-27946.0,-20752.0
total emissions [tCO$_2$-eq.],-28.8,-21.8,-22.300000000000004,-21.6,-32.6,-30.7,-24.0,-39.99999999999999,-21.1
