quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-15902.0,-12814.0,-12950.0,-12943.0,-17556.0,-16699.0,-13838.0,-20845.0,-12282.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0
total costs [$],-13773.0,-9700.0,9456.0,-16018.0,-22308.0,-29758.0,-15083.0,-24191.0,-16121.0
total future costs [$],-27041.0,-23953.0,-24089.0,-24082.0,-28694.0,-27838.0,-24977.0,-31984.0,-23421.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0,-7317.0
total present value operations costs [$],-14102.0,-11363.0,-11484.0,-11477.0,-15568.0,-14808.0,-12272.0,-18486.0,-10892.0
total present value insurance costs [$],758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0
total present value maintenance costs [$],-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0
total present value costs [$],-11378.0,-7655.0,11517.0,-13958.0,-19726.0,-27273.0,-12922.0,-21237.0,-14136.0
total present value future costs [$],-24646.0,-21907.0,-22028.0,-22022.0,-26112.0,-25353.0,-22816.0,-29030.0,-21436.0
total emissions [tCO$_2$-eq.],-30.400000000000002,-23.200000000000003,-23.199999999999996,-23.400000000000002,-34.7,-32.5,-27.700000000000003,-41.8,-22.299999999999997
