quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0
total operations costs [$],-17208.0,-13850.0,-14111.0,-13900.0,-18883.0,-18034.0,-14373.0,-22585.0,-13318.0
total insurance costs [$],1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0
total maintenance costs [$],-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0
total costs [$],-13544.0,-9202.0,9831.0,-15441.0,-22102.0,-29558.0,-14083.0,-24397.0,-15623.0
total future costs [$],-26812.0,-23455.0,-23715.0,-23505.0,-28488.0,-27638.0,-23977.0,-32190.0,-22923.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0
total present value operations costs [$],-12856.0,-10348.0,-10543.0,-10386.0,-14108.0,-13473.0,-10739.0,-16874.0,-9951.0
total present value insurance costs [$],825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0
total present value maintenance costs [$],-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0
total present value costs [$],-7616.0,-4123.0,14975.0,-10350.0,-15750.0,-23421.0,-8872.0,-17109.0,-10678.0
total present value future costs [$],-20884.0,-18376.0,-18570.0,-18413.0,-22135.0,-21501.0,-18766.0,-24902.0,-17978.0
total emissions [tCO$_2$-eq.],3.6400000000000077,5.009999999999998,1.3800000000000026,8.21,6.510000000000005,4.409999999999997,22.0,1.5300000000000011,3.1799999999999997
