quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-20826.0,-16782.0,-16960.0,-16950.0,-22991.0,-21870.0,-18123.0,-27301.0,-16085.0
total insurance costs [$],1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0
total maintenance costs [$],-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0
total costs [$],-19916.0,-14887.0,4228.0,-21245.0,-28964.0,-36147.0,-20587.0,-31866.0,-21144.0
total future costs [$],-33184.0,-29139.0,-29317.0,-29308.0,-35349.0,-34227.0,-30481.0,-39659.0,-28444.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-15838.0,-12762.0,-12897.0,-12890.0,-17484.0,-16631.0,-13782.0,-20761.0,-12232.0
total present value insurance costs [$],781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0
total present value maintenance costs [$],-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0
total present value costs [$],-13407.0,-9347.0,9811.0,-15664.0,-21936.0,-29389.0,-14725.0,-23805.0,-15769.0
total present value future costs [$],-26675.0,-23599.0,-23735.0,-23728.0,-28321.0,-27469.0,-24619.0,-31598.0,-23069.0
total emissions [tCO$_2$-eq.],-41.15,-31.690000000000005,-31.79,-31.989999999999995,-46.78,-43.84,-37.7,-56.06999999999999,-30.47
