quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-10869.0,-8726.0,-9055.0,-8626.0,-11762.0,-11337.0,-8202.0,-14308.0,-8453.0
total insurance costs [$],1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0
total maintenance costs [$],-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0
total costs [$],-9959.0,-6830.0,12133.0,-12921.0,-17734.0,-25615.0,-10665.0,-18872.0,-13510.0
total future costs [$],-23227.0,-21083.0,-21412.0,-20984.0,-24120.0,-23695.0,-20559.0,-26665.0,-20810.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-8265.0,-6635.0,-6886.0,-6561.0,-8945.0,-8622.0,-6237.0,-10881.0,-6428.0
total present value insurance costs [$],781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0
total present value maintenance costs [$],-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0
total present value costs [$],-5835.0,-3220.0,15822.0,-9333.0,-13396.0,-21379.0,-7179.0,-13924.0,-9965.0
total present value future costs [$],-19103.0,-17472.0,-17723.0,-17397.0,-19782.0,-19459.0,-17073.0,-21717.0,-17265.0
total emissions [tCO$_2$-eq.],-23.730000000000004,-17.460000000000004,-18.799999999999997,-16.539999999999996,-26.18,-25.110000000000007,-15.219999999999999,-33.589999999999996,-17.359999999999996
