quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0
total operations costs [$],-14510.0,-11626.0,-12218.0,-11374.0,-15549.0,-15086.0,-10143.0,-19138.0,-11321.0
total insurance costs [$],1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0
total maintenance costs [$],-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0
total costs [$],-10845.0,-6978.0,11724.0,-12915.0,-18768.0,-26609.0,-9853.0,-20950.0,-13625.0
total future costs [$],-24113.0,-21231.0,-21822.0,-20979.0,-25154.0,-24689.0,-19747.0,-28743.0,-20925.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0
total present value operations costs [$],-10840.0,-8686.0,-9128.0,-8499.0,-11617.0,-11270.0,-7578.0,-14298.0,-8458.0
total present value insurance costs [$],825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0
total present value maintenance costs [$],-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0
total present value costs [$],-5600.0,-2461.0,16390.0,-8463.0,-13259.0,-21218.0,-5711.0,-14533.0,-9186.0
total present value future costs [$],-18868.0,-16714.0,-17156.0,-16526.0,-19645.0,-19298.0,-15605.0,-22326.0,-16486.0
total emissions [tCO$_2$-eq.],-38.05,-29.040000000000003,-29.73,-28.779999999999998,-42.81999999999999,-40.43,-31.810000000000002,-52.28,-28.22
