quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0
total operations costs [$],-14612.0,-11709.0,-12304.0,-11455.0,-15660.0,-15192.0,-10214.0,-19273.0,-11401.0
total insurance costs [$],1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0
total maintenance costs [$],-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0
total costs [$],-10995.0,-7106.0,11591.0,-13042.0,-18925.0,-26763.0,-9971.0,-21131.0,-13752.0
total future costs [$],-24263.0,-21359.0,-21955.0,-21106.0,-25310.0,-24843.0,-19865.0,-28924.0,-21052.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0
total present value operations costs [$],-10916.0,-8748.0,-9193.0,-8558.0,-11699.0,-11350.0,-7631.0,-14399.0,-8518.0
total present value insurance costs [$],825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0
total present value maintenance costs [$],-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0
total present value costs [$],-5711.0,-2557.0,16290.0,-8558.0,-13376.0,-21332.0,-5799.0,-14669.0,-9280.0
total present value future costs [$],-18979.0,-16810.0,-17255.0,-16621.0,-19762.0,-19412.0,-15693.0,-22462.0,-16580.0
total emissions [tCO$_2$-eq.],-38.3,-29.300000000000004,-29.999999999999996,-29.0,-43.2,-40.8,-32.0,-52.699999999999996,-28.5
