quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-18154.0,-14629.0,-14784.0,-14776.0,-20041.0,-19064.0,-15798.0,-23798.0,-14021.0
total insurance costs [$],951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0
total maintenance costs [$],-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0
total costs [$],-16565.0,-12055.0,7082.0,-18391.0,-25335.0,-32663.0,-17583.0,-27684.0,-18401.0
total future costs [$],-29833.0,-26308.0,-26463.0,-26455.0,-31721.0,-30743.0,-27477.0,-35477.0,-25701.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-14052.0,-11323.0,-11444.0,-11437.0,-15513.0,-14756.0,-12228.0,-18420.0,-10853.0
total present value insurance costs [$],735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0
total present value maintenance costs [$],-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0
total present value costs [$],-11162.0,-7448.0,11724.0,-13751.0,-19505.0,-27055.0,-12712.0,-21005.0,-13932.0
total present value future costs [$],-24430.0,-21701.0,-21821.0,-21815.0,-25891.0,-25135.0,-22606.0,-28798.0,-21232.0
total emissions [tCO$_2$-eq.],-35.3,-27.1,-27.1,-27.3,-40.3,-37.7,-32.3,-48.3,-26.0
