quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-7561.0,-6070.0,-6299.0,-6001.0,-8183.0,-7887.0,-5705.0,-9953.0,-5881.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0
total costs [$],-5033.0,-2557.0,16507.0,-8678.0,-12537.0,-20546.0,-6551.0,-12900.0,-9320.0
total future costs [$],-18301.0,-16810.0,-17039.0,-16741.0,-18922.0,-18626.0,-16445.0,-20693.0,-16620.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-5986.0,-4806.0,-4987.0,-4751.0,-6478.0,-6244.0,-4517.0,-7881.0,-4655.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0
total present value costs [$],-2426.0,-261.0,18851.0,-6395.0,-9800.0,-17872.0,-4331.0,-9795.0,-7063.0
total present value future costs [$],-15694.0,-14514.0,-14695.0,-14458.0,-16186.0,-15952.0,-14225.0,-17588.0,-14363.0
total emissions [tCO$_2$-eq.],-15.18,-10.830000000000002,-11.760000000000002,-10.179999999999996,-16.890000000000004,-16.15,-9.260000000000002,-22.039999999999996,-10.760000000000002
