quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-11011.0,-8862.0,-9035.0,-8887.0,-12075.0,-11536.0,-9159.0,-14453.0,-8524.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0,-4493.0
total costs [$],-8882.0,-5748.0,13371.0,-11963.0,-16829.0,-24596.0,-10404.0,-17800.0,-12363.0
total future costs [$],-22150.0,-20000.0,-20174.0,-20027.0,-23215.0,-22676.0,-20298.0,-25593.0,-19663.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-8717.0,-7015.0,-7153.0,-7036.0,-9561.0,-9134.0,-7251.0,-11443.0,-6748.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3558.0,-3558.0,-3558.0,-3558.0,-3558.0,-3558.0,-3558.0,-3558.0,-3558.0
total present value costs [$],-5473.0,-2787.0,16369.0,-8997.0,-13199.0,-21077.0,-7382.0,-13674.0,-9472.0
total present value future costs [$],-18741.0,-17040.0,-17177.0,-17060.0,-19584.0,-19157.0,-17276.0,-21467.0,-16772.0
total emissions [tCO$_2$-eq.],-30.400000000000002,-23.200000000000003,-23.199999999999996,-23.400000000000002,-34.7,-32.5,-27.700000000000003,-41.8,-22.299999999999997
