quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-10031.0,-8073.0,-8232.0,-8098.0,-11002.0,-10511.0,-8345.0,-13168.0,-7765.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0
total costs [$],-7503.0,-4560.0,14574.0,-10774.0,-15356.0,-23171.0,-9190.0,-16115.0,-11206.0
total future costs [$],-20771.0,-18813.0,-18972.0,-18837.0,-21742.0,-21251.0,-19084.0,-23908.0,-18506.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-7942.0,-6392.0,-6517.0,-6411.0,-8710.0,-8322.0,-6607.0,-10426.0,-6148.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0
total present value costs [$],-4382.0,-1847.0,17321.0,-8055.0,-12032.0,-19950.0,-6421.0,-12341.0,-8556.0
total present value future costs [$],-17650.0,-16099.0,-16225.0,-16118.0,-18418.0,-18030.0,-16315.0,-20134.0,-15856.0
total emissions [tCO$_2$-eq.],-27.29,-20.730000000000004,-20.8,-20.93,-31.220000000000002,-29.18,-24.900000000000002,-37.67999999999999,-19.880000000000003
