quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-7466.0,-5998.0,-6191.0,-5957.0,-8113.0,-7799.0,-5813.0,-9819.0,-5798.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0
total costs [$],-4950.0,-2497.0,16603.0,-8645.0,-12479.0,-20470.0,-6670.0,-12778.0,-9250.0
total future costs [$],-18218.0,-16749.0,-16942.0,-16709.0,-18864.0,-18550.0,-16564.0,-20571.0,-16550.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-5911.0,-4749.0,-4901.0,-4716.0,-6424.0,-6174.0,-4603.0,-7774.0,-4591.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0
total present value costs [$],-2360.0,-214.0,18928.0,-6370.0,-9755.0,-17811.0,-4425.0,-9698.0,-7007.0
total present value future costs [$],-15628.0,-14466.0,-14618.0,-14433.0,-16140.0,-15891.0,-14319.0,-17491.0,-14307.0
total emissions [tCO$_2$-eq.],3.8999999999999986,4.800000000000004,2.5,6.700000000000003,5.700000000000003,4.399999999999999,15.399999999999999,2.6000000000000014,3.6000000000000014
