quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-10747.0,-8650.0,-8813.0,-8682.0,-11794.0,-11263.0,-8978.0,-14107.0,-8318.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0
total costs [$],-8219.0,-5137.0,13993.0,-11358.0,-16148.0,-23923.0,-9823.0,-17053.0,-11758.0
total future costs [$],-21487.0,-19390.0,-19553.0,-19422.0,-22534.0,-22003.0,-19717.0,-24846.0,-19058.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-8509.0,-6849.0,-6977.0,-6873.0,-9337.0,-8917.0,-7108.0,-11168.0,-6586.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0,-3241.0
total present value costs [$],-4949.0,-2304.0,16860.0,-8517.0,-12660.0,-20545.0,-6921.0,-13083.0,-8994.0
total present value future costs [$],-18217.0,-16557.0,-16685.0,-16581.0,-19045.0,-18625.0,-16815.0,-20876.0,-16294.0
total emissions [tCO$_2$-eq.],3.9100000000000037,4.759999999999998,2.490000000000002,6.760000000000005,5.699999999999996,4.380000000000003,15.369999999999997,2.5900000000000034,3.6099999999999994
