quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0
total operations costs [$],-16176.0,-13018.0,-13274.0,-13057.0,-17740.0,-16948.0,-13456.0,-21234.0,-12522.0
total insurance costs [$],1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0
total maintenance costs [$],-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0
total costs [$],-12558.0,-8416.0,10621.0,-14644.0,-21005.0,-28519.0,-13212.0,-23091.0,-14872.0
total future costs [$],-25826.0,-22668.0,-22924.0,-22708.0,-27390.0,-26599.0,-23106.0,-30884.0,-22172.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0
total present value operations costs [$],-12085.0,-9725.0,-9916.0,-9754.0,-13254.0,-12662.0,-10053.0,-15864.0,-9355.0
total present value insurance costs [$],825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0
total present value maintenance costs [$],-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0
total present value costs [$],-6879.0,-3536.0,15566.0,-9754.0,-14930.0,-22645.0,-8222.0,-16133.0,-10118.0
total present value future costs [$],-20147.0,-17789.0,-17979.0,-17818.0,-21316.0,-20725.0,-18116.0,-23926.0,-17418.0
total emissions [tCO$_2$-eq.],-46.599999999999994,-36.1,-36.199999999999996,-36.4,-53.1,-49.7,-42.8,-63.49999999999999,-34.7
