quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-13094.0,-10492.0,-11025.0,-10265.0,-14032.0,-13614.0,-9153.0,-17271.0,-10217.0
total insurance costs [$],1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0
total maintenance costs [$],-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0,-5916.0
total costs [$],-12214.0,-8628.0,10131.0,-14590.0,-20035.0,-27922.0,-11647.0,-21866.0,-15305.0
total future costs [$],-25482.0,-22881.0,-23415.0,-22653.0,-26420.0,-26002.0,-21541.0,-29659.0,-22605.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-9957.0,-7979.0,-8385.0,-7807.0,-10672.0,-10353.0,-6960.0,-13134.0,-7770.0
total present value insurance costs [$],781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0
total present value maintenance costs [$],-4499.0,-4499.0,-4499.0,-4499.0,-4499.0,-4499.0,-4499.0,-4499.0,-4499.0
total present value costs [$],-7549.0,-4587.0,14301.0,-10603.0,-15146.0,-23133.0,-7927.0,-16201.0,-11330.0
total present value future costs [$],-20817.0,-18839.0,-19245.0,-18666.0,-21531.0,-21213.0,-17821.0,-23994.0,-18630.0
total emissions [tCO$_2$-eq.],-33.9,-25.799999999999997,-26.400000000000002,-25.5,-38.2,-36.0,-28.300000000000004,-46.800000000000004,-24.999999999999996
