quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0
total operations costs [$],-23198.0,-18693.0,-18891.0,-18881.0,-25609.0,-24360.0,-20186.0,-30408.0,-17917.0
total insurance costs [$],1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0
total maintenance costs [$],-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0
total costs [$],-19534.0,-14043.0,5050.0,-20421.0,-28828.0,-35884.0,-19897.0,-32220.0,-20221.0
total future costs [$],-32802.0,-28296.0,-28495.0,-28484.0,-35213.0,-33964.0,-29791.0,-40013.0,-27521.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0
total present value operations costs [$],-17331.0,-13965.0,-14113.0,-14105.0,-19132.0,-18199.0,-15081.0,-22718.0,-13386.0
total present value insurance costs [$],825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0
total present value maintenance costs [$],-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0,-4898.0
total present value costs [$],-12091.0,-7741.0,11405.0,-14069.0,-20774.0,-28147.0,-13215.0,-22953.0,-14114.0
total present value future costs [$],-25359.0,-21993.0,-22141.0,-22133.0,-27160.0,-26227.0,-23109.0,-30746.0,-21414.0
total emissions [tCO$_2$-eq.],-46.32,-35.790000000000006,-35.91,-36.12,-52.599999999999994,-49.33,-42.480000000000004,-62.95,-34.44
