quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-11355.0,-9099.0,-9561.0,-8902.0,-12169.0,-11806.0,-7937.0,-14977.0,-8860.0
total insurance costs [$],951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0
total maintenance costs [$],-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0
total costs [$],-9766.0,-6525.0,12305.0,-12518.0,-17463.0,-25406.0,-9722.0,-18863.0,-13239.0
total future costs [$],-23034.0,-20778.0,-21241.0,-20581.0,-23848.0,-23486.0,-19616.0,-26656.0,-20539.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-8789.0,-7043.0,-7401.0,-6891.0,-9419.0,-9138.0,-6144.0,-11593.0,-6857.0
total present value insurance costs [$],735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0
total present value maintenance costs [$],-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0
total present value costs [$],-5899.0,-3168.0,15766.0,-9205.0,-13412.0,-21436.0,-6627.0,-14178.0,-9936.0
total present value future costs [$],-19167.0,-17421.0,-17780.0,-17269.0,-19797.0,-19516.0,-16521.0,-21971.0,-17236.0
total emissions [tCO$_2$-eq.],-28.8,-21.8,-22.300000000000004,-21.6,-32.6,-30.7,-24.0,-39.99999999999999,-21.1
