quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-16185.0,-13020.0,-13314.0,-13029.0,-17713.0,-16947.0,-13261.0,-21256.0,-12539.0
total insurance costs [$],1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0
total maintenance costs [$],-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0
total costs [$],-15276.0,-11126.0,7873.0,-17324.0,-23685.0,-31225.0,-15725.0,-25821.0,-17597.0
total future costs [$],-28544.0,-25379.0,-25672.0,-25387.0,-30071.0,-29305.0,-25619.0,-33614.0,-24897.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-12309.0,-9902.0,-10126.0,-9908.0,-13470.0,-12888.0,-10084.0,-16165.0,-9536.0
total present value insurance costs [$],781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0
total present value maintenance costs [$],-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0
total present value costs [$],-9878.0,-6486.0,12584.0,-12682.0,-17922.0,-25644.0,-11028.0,-19209.0,-13073.0
total present value future costs [$],-23146.0,-20739.0,-20962.0,-20746.0,-24308.0,-23724.0,-20922.0,-27002.0,-20373.0
total emissions [tCO$_2$-eq.],-23.730000000000004,-17.460000000000004,-18.799999999999997,-16.539999999999996,-26.18,-25.110000000000007,-15.219999999999999,-33.589999999999996,-17.359999999999996
