quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-11293.0,-9085.0,-9289.0,-9090.0,-12358.0,-11823.0,-9252.0,-14830.0,-8749.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0,-4105.0
total costs [$],-8776.0,-5584.0,13505.0,-11778.0,-16724.0,-24495.0,-10109.0,-17789.0,-12200.0
total future costs [$],-22044.0,-19836.0,-20041.0,-19842.0,-23110.0,-22575.0,-20003.0,-25582.0,-19500.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-8940.0,-7192.0,-7355.0,-7197.0,-9784.0,-9361.0,-7325.0,-11742.0,-6926.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0,-3251.0
total present value costs [$],-5390.0,-2657.0,16474.0,-8851.0,-13116.0,-20998.0,-7148.0,-13665.0,-9343.0
total present value future costs [$],-18658.0,-16910.0,-17071.0,-16914.0,-19501.0,-19078.0,-17042.0,-21458.0,-16643.0
total emissions [tCO$_2$-eq.],-15.200000000000003,-10.899999999999999,-11.800000000000004,-10.2,-17.0,-16.2,-9.3,-22.099999999999998,-10.799999999999997
