quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-11260.0,-9058.0,-9263.0,-9065.0,-12322.0,-11789.0,-9226.0,-14788.0,-8723.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0,-4094.0
total costs [$],-8732.0,-5545.0,13543.0,-11741.0,-16676.0,-24449.0,-10071.0,-17734.0,-12163.0
total future costs [$],-22000.0,-19798.0,-20002.0,-19804.0,-23062.0,-22529.0,-19965.0,-25527.0,-19463.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0
total present value operations costs [$],-1593.0,-1281.0,-1310.0,-1283.0,-1743.0,-1668.0,-1305.0,-2092.0,-1234.0
total present value insurance costs [$],121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0
total present value maintenance costs [$],-579.0,-579.0,-579.0,-579.0,-579.0,-579.0,-579.0,-579.0,-579.0
total present value costs [$],7027.0,8323.0,27587.0,2133.0,-6.0,-8236.0,3941.0,1053.0,1418.0
total present value future costs [$],-6241.0,-5929.0,-5958.0,-5931.0,-6391.0,-6316.0,-5953.0,-6740.0,-5882.0
total emissions [tCO$_2$-eq.],-15.18,-10.830000000000002,-11.760000000000002,-10.179999999999996,-16.890000000000004,-16.15,-9.260000000000002,-22.039999999999996,-10.760000000000002
