quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0,-1389.0
total operations costs [$],-18243.0,-14683.0,-14958.0,-14736.0,-20019.0,-19118.0,-15238.0,-23944.0,-14118.0
total insurance costs [$],1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0,1248.0
total maintenance costs [$],-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0,-6949.0
total costs [$],-12064.0,-7520.0,11497.0,-13762.0,-20722.0,-28127.0,-12433.0,-23240.0,-13909.0
total future costs [$],-25332.0,-21772.0,-22049.0,-21825.0,-27108.0,-26207.0,-22327.0,-31033.0,-21209.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-1355.0,-1355.0,-1355.0,-1355.0,-1355.0,-1355.0,-1355.0,-1355.0,-1355.0
total present value operations costs [$],-15412.0,-12405.0,-12638.0,-12450.0,-16912.0,-16151.0,-12873.0,-20229.0,-11929.0
total present value insurance costs [$],1054.0,1054.0,1054.0,1054.0,1054.0,1054.0,1054.0,1054.0,1054.0
total present value maintenance costs [$],-5871.0,-5871.0,-5871.0,-5871.0,-5871.0,-5871.0,-5871.0,-5871.0,-5871.0
total present value costs [$],-8316.0,-4324.0,14737.0,-10558.0,-16699.0,-24243.0,-9151.0,-18607.0,-10799.0
total present value future costs [$],-21584.0,-18576.0,-18809.0,-18621.0,-23084.0,-22323.0,-19045.0,-26400.0,-18099.0
total emissions [tCO$_2$-eq.],3.5999999999999943,5.0,1.1999999999999957,8.399999999999999,6.599999999999994,4.3999999999999915,23.000000000000007,1.3000000000000114,3.0999999999999943
