quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-9328.0,-7494.0,-7735.0,-7443.0,-10136.0,-9744.0,-7263.0,-12268.0,-7243.0
total insurance costs [$],951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0
total maintenance costs [$],-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0
total costs [$],-7739.0,-4921.0,14132.0,-11058.0,-15431.0,-23343.0,-9048.0,-16155.0,-11624.0
total future costs [$],-21007.0,-19173.0,-19414.0,-19122.0,-21816.0,-21423.0,-18942.0,-23948.0,-18924.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-7220.0,-5801.0,-5987.0,-5761.0,-7847.0,-7541.0,-5622.0,-9496.0,-5607.0
total present value insurance costs [$],735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0
total present value maintenance costs [$],-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0
total present value costs [$],-4330.0,-1926.0,17181.0,-8075.0,-11838.0,-19840.0,-6106.0,-12081.0,-8685.0
total present value future costs [$],-17598.0,-16178.0,-16365.0,-16139.0,-18224.0,-17920.0,-16000.0,-19874.0,-15985.0
total emissions [tCO$_2$-eq.],3.799999999999997,4.799999999999997,2.0,7.399999999999999,6.0,4.399999999999999,18.1,2.1000000000000085,3.3999999999999986
