quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0
total operations costs [$],-18028.0,-14503.0,-14830.0,-14513.0,-19730.0,-18876.0,-14771.0,-23677.0,-13967.0
total insurance costs [$],1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0
total maintenance costs [$],-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0
total costs [$],-14365.0,-9855.0,9111.0,-16053.0,-22948.0,-30400.0,-14481.0,-25487.0,-16271.0
total future costs [$],-27633.0,-24108.0,-24434.0,-24117.0,-29334.0,-28480.0,-24375.0,-33280.0,-23571.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-3881.0,-3881.0,-3881.0,-3881.0,-3881.0,-3881.0,-3881.0,-3881.0,-3881.0
total present value operations costs [$],-12115.0,-9746.0,-9966.0,-9753.0,-13259.0,-12685.0,-9927.0,-15911.0,-9386.0
total present value insurance costs [$],742.0,742.0,742.0,742.0,742.0,742.0,742.0,742.0,742.0
total present value maintenance costs [$],-4405.0,-4405.0,-4405.0,-4405.0,-4405.0,-4405.0,-4405.0,-4405.0,-4405.0
total present value costs [$],-6393.0,-3039.0,16034.0,-9234.0,-14418.0,-22150.0,-7577.0,-15663.0,-9631.0
total present value future costs [$],-19661.0,-17291.0,-17511.0,-17298.0,-20804.0,-20230.0,-17471.0,-23456.0,-16931.0
total emissions [tCO$_2$-eq.],-26.92,-19.950000000000003,-21.43,-18.909999999999997,-29.64999999999999,-28.46,-17.440000000000005,-37.910000000000004,-19.84
