quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-8092.0,-6501.0,-6709.0,-6456.0,-8793.0,-8452.0,-6301.0,-10643.0,-6284.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4450.0,-4450.0,-4450.0,-4450.0,-4450.0,-4450.0,-4450.0,-4450.0,-4450.0
total costs [$],-5919.0,-3344.0,15741.0,-9488.0,-13503.0,-21467.0,-7502.0,-13945.0,-10080.0
total future costs [$],-19187.0,-17596.0,-17805.0,-17552.0,-19889.0,-19547.0,-17396.0,-21738.0,-17380.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-6406.0,-5147.0,-5312.0,-5112.0,-6962.0,-6691.0,-4988.0,-8426.0,-4975.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3523.0,-3523.0,-3523.0,-3523.0,-3523.0,-3523.0,-3523.0,-3523.0,-3523.0
total present value costs [$],-3127.0,-884.0,18244.0,-7038.0,-10566.0,-18601.0,-5084.0,-10622.0,-7665.0
total present value future costs [$],-16395.0,-15136.0,-15302.0,-15101.0,-16951.0,-16681.0,-14978.0,-18415.0,-14965.0
total emissions [tCO$_2$-eq.],3.8699999999999974,4.799999999999997,2.3299999999999983,6.970000000000006,5.82,4.3799999999999955,16.330000000000005,2.440000000000005,3.5600000000000023
