quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0
total operations costs [$],-12004.0,-9644.0,-9954.0,-9578.0,-13044.0,-12538.0,-9346.0,-15787.0,-9322.0
total insurance costs [$],1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0
total maintenance costs [$],-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0
total costs [$],-8386.0,-5042.0,13942.0,-11165.0,-16309.0,-24109.0,-9103.0,-17645.0,-11673.0
total future costs [$],-21654.0,-19294.0,-19603.0,-19228.0,-22695.0,-22189.0,-18997.0,-25438.0,-18973.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0
total present value operations costs [$],-8968.0,-7205.0,-7436.0,-7156.0,-9745.0,-9367.0,-6983.0,-11795.0,-6964.0
total present value insurance costs [$],825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0
total present value maintenance costs [$],-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0
total present value costs [$],-3763.0,-1015.0,18047.0,-7154.0,-11422.0,-19350.0,-5151.0,-12064.0,-7726.0
total present value future costs [$],-17031.0,-15267.0,-15498.0,-15218.0,-17808.0,-17430.0,-15045.0,-19857.0,-15026.0
total emissions [tCO$_2$-eq.],3.6999999999999957,5.0,1.4000000000000057,8.300000000000004,6.5,4.400000000000006,22.199999999999996,1.5,3.200000000000003
