quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-12570.0,-10116.0,-10314.0,-10146.0,-13786.0,-13171.0,-10456.0,-16500.0,-9731.0
total insurance costs [$],951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0
total maintenance costs [$],-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0
total costs [$],-10982.0,-7543.0,11551.0,-13762.0,-19080.0,-26770.0,-12242.0,-20387.0,-14110.0
total future costs [$],-24250.0,-21795.0,-21994.0,-21826.0,-25465.0,-24850.0,-22136.0,-28180.0,-21410.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-9729.0,-7830.0,-7984.0,-7854.0,-10671.0,-10194.0,-8094.0,-12772.0,-7532.0
total present value insurance costs [$],735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0
total present value maintenance costs [$],-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0,-3971.0
total present value costs [$],-6840.0,-3955.0,15184.0,-10168.0,-14663.0,-22493.0,-8577.0,-15357.0,-10610.0
total present value future costs [$],-20108.0,-18208.0,-18362.0,-18232.0,-21049.0,-20573.0,-18471.0,-23150.0,-17910.0
total emissions [tCO$_2$-eq.],-35.3,-27.1,-27.1,-27.3,-40.3,-37.7,-32.3,-48.3,-26.0
