quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0
total operations costs [$],-15831.0,-12736.0,-13019.0,-12749.0,-17330.0,-16577.0,-12994.0,-20789.0,-12264.0
total insurance costs [$],1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0
total maintenance costs [$],-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0,-6555.0
total costs [$],-12168.0,-8088.0,10923.0,-14288.0,-20548.0,-28101.0,-12704.0,-22601.0,-14567.0
total future costs [$],-25436.0,-22340.0,-22623.0,-22352.0,-26934.0,-26181.0,-22598.0,-30394.0,-21867.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-4032.0,-4032.0,-4032.0,-4032.0,-4032.0,-4032.0,-4032.0,-4032.0,-4032.0
total present value operations costs [$],-13227.0,-10641.0,-10878.0,-10652.0,-14480.0,-13851.0,-10857.0,-17370.0,-10246.0
total present value insurance costs [$],922.0,922.0,922.0,922.0,922.0,922.0,922.0,922.0,922.0
total present value maintenance costs [$],-5477.0,-5477.0,-5477.0,-5477.0,-5477.0,-5477.0,-5477.0,-5477.0,-5477.0
total present value costs [$],-8546.0,-4976.0,14081.0,-11174.0,-16680.0,-24357.0,-9550.0,-18164.0,-11533.0
total present value future costs [$],-21814.0,-19228.0,-19464.0,-19238.0,-23066.0,-22437.0,-19444.0,-25957.0,-18833.0
total emissions [tCO$_2$-eq.],-25.269999999999996,-18.6,-20.2,-17.439999999999998,-27.689999999999998,-26.68,-15.310000000000002,-35.78,-18.59
