quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-11395.0,-9131.0,-9595.0,-8933.0,-12212.0,-11847.0,-7965.0,-15030.0,-8891.0
total insurance costs [$],951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0
total maintenance costs [$],-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0
total costs [$],-9824.0,-6575.0,12253.0,-12568.0,-17524.0,-25465.0,-9769.0,-18935.0,-13289.0
total future costs [$],-23092.0,-20828.0,-21293.0,-20631.0,-23909.0,-23545.0,-19663.0,-26728.0,-20589.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-8820.0,-7068.0,-7427.0,-6915.0,-9453.0,-9170.0,-6166.0,-11634.0,-6882.0
total present value insurance costs [$],735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0
total present value maintenance costs [$],-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0,-3985.0
total present value costs [$],-5944.0,-3207.0,15726.0,-9244.0,-13459.0,-21483.0,-6664.0,-14233.0,-9974.0
total present value future costs [$],-19212.0,-17460.0,-17819.0,-17307.0,-19845.0,-19563.0,-16558.0,-22026.0,-17274.0
total emissions [tCO$_2$-eq.],-28.95,-21.87,-22.42,-21.68,-32.69,-30.83,-24.039999999999996,-40.120000000000005,-21.23
