quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0,-4153.0
total operations costs [$],-17330.0,-13949.0,-14210.0,-13999.0,-19018.0,-18162.0,-14476.0,-22746.0,-13413.0
total insurance costs [$],1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0
total maintenance costs [$],-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0,-6602.0
total costs [$],-13712.0,-9347.0,9684.0,-15586.0,-22282.0,-29731.0,-14231.0,-24603.0,-15764.0
total future costs [$],-26980.0,-23599.0,-23861.0,-23649.0,-28667.0,-27811.0,-24125.0,-32396.0,-23064.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0,-3955.0
total present value operations costs [$],-12947.0,-10421.0,-10617.0,-10459.0,-14208.0,-13569.0,-10815.0,-16993.0,-10021.0
total present value insurance costs [$],825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0,825.0
total present value maintenance costs [$],-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0,-4932.0
total present value costs [$],-7742.0,-4231.0,14867.0,-10458.0,-15885.0,-23551.0,-8983.0,-17263.0,-10783.0
total present value future costs [$],-21010.0,-18484.0,-18679.0,-18521.0,-22271.0,-21631.0,-18877.0,-25056.0,-18083.0
total emissions [tCO$_2$-eq.],3.6999999999999957,5.0,1.4000000000000057,8.300000000000004,6.5,4.400000000000006,22.199999999999996,1.5,3.200000000000003
