quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-14159.0,-11390.0,-11647.0,-11398.0,-15495.0,-14824.0,-11600.0,-18594.0,-10969.0
total insurance costs [$],951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0,951.0
total maintenance costs [$],-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0,-5148.0
total costs [$],-12588.0,-8835.0,10201.0,-15032.0,-20807.0,-28442.0,-13404.0,-22499.0,-15366.0
total future costs [$],-25856.0,-23088.0,-23345.0,-23095.0,-27193.0,-26522.0,-23298.0,-30292.0,-22666.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-4076.0,-4076.0,-4076.0,-4076.0,-4076.0,-4076.0,-4076.0,-4076.0,-4076.0
total present value operations costs [$],-1698.0,-1366.0,-1397.0,-1368.0,-1859.0,-1779.0,-1391.0,-2231.0,-1316.0
total present value insurance costs [$],114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0
total present value maintenance costs [$],-617.0,-617.0,-617.0,-617.0,-617.0,-617.0,-617.0,-617.0,-617.0
total present value costs [$],6990.0,8306.0,27568.0,2117.0,-53.0,-8278.0,3922.0,982.0,1405.0
total present value future costs [$],-6278.0,-5946.0,-5977.0,-5947.0,-6438.0,-6358.0,-5972.0,-6811.0,-5895.0
total emissions [tCO$_2$-eq.],-20.21,-14.73,-15.900000000000002,-13.919999999999998,-22.35,-21.43,-12.759999999999998,-28.840000000000003,-14.649999999999999
