quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-14970.0,-12026.0,-12415.0,-11940.0,-16263.0,-15635.0,-11636.0,-19689.0,-11626.0
total insurance costs [$],855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
total maintenance costs [$],-4450.0,-4450.0,-4450.0,-4450.0,-4450.0,-4450.0,-4450.0,-4450.0,-4450.0
total costs [$],-12797.0,-8869.0,10035.0,-14973.0,-20973.0,-28651.0,-12838.0,-22991.0,-15421.0
total future costs [$],-26065.0,-23121.0,-23511.0,-23036.0,-27359.0,-26731.0,-22732.0,-30784.0,-22721.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-11851.0,-9521.0,-9829.0,-9453.0,-12876.0,-12378.0,-9213.0,-15588.0,-9204.0
total present value insurance costs [$],676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
total present value maintenance costs [$],-3523.0,-3523.0,-3523.0,-3523.0,-3523.0,-3523.0,-3523.0,-3523.0,-3523.0
total present value costs [$],-8573.0,-5257.0,13727.0,-11380.0,-16480.0,-24287.0,-9309.0,-17785.0,-11894.0
total present value future costs [$],-21841.0,-19510.0,-19819.0,-19443.0,-22865.0,-22367.0,-19203.0,-25578.0,-19194.0
total emissions [tCO$_2$-eq.],-24.43,-18.320000000000004,-18.79,-18.139999999999997,-27.67,-26.060000000000002,-20.199999999999996,-34.089999999999996,-17.75
