quantity,Typical,Typical Car,Sedan,Car SUV,Typical Truck,Truck SUV,Minivan/Van,Pickup,affordable sedan
total mileage [mi],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total incentives costs [$],-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0,-7500.0
total operations costs [$],-19796.0,-15904.0,-16419.0,-15791.0,-21508.0,-20677.0,-15389.0,-26038.0,-15375.0
total insurance costs [$],1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0
total maintenance costs [$],-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0,-5885.0
total costs [$],-18886.0,-14009.0,4769.0,-20085.0,-27480.0,-34954.0,-17853.0,-30603.0,-20432.0
total future costs [$],-32154.0,-28261.0,-28776.0,-28149.0,-33865.0,-33034.0,-27747.0,-38396.0,-27732.0
total present value purchase costs [$],13268.0,14252.0,33546.0,8064.0,6386.0,-1920.0,9894.0,7793.0,7300.0
total present value incentives costs [$],-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0,-7143.0
total present value operations costs [$],-15055.0,-12094.0,-12486.0,-12008.0,-16356.0,-15724.0,-11703.0,-19801.0,-11692.0
total present value insurance costs [$],781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0
total present value maintenance costs [$],-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0,-4475.0
total present value costs [$],-12623.0,-8679.0,10223.0,-14782.0,-20808.0,-28481.0,-12646.0,-22845.0,-15229.0
total present value future costs [$],-25891.0,-22931.0,-23323.0,-22846.0,-27194.0,-26561.0,-22540.0,-30638.0,-22529.0
total emissions [tCO$_2$-eq.],-33.72,-25.620000000000005,-26.25,-25.399999999999995,-38.0,-35.86,-28.11,-46.48,-24.88
