"","results.years","results.price_ton_co2"
"1",2023,0
"2",2024,0.825905536590669
"3",2025,2.24245005020415
"4",2026,4.19236923426549
"5",2027,6.22940627130252
"6",2028,8.26644330833956
"7",2029,10.3168192487539
"8",2030,12.792085896135
"9",2031,15.7819847510576
"10",2032,19.1587798346572
"11",2033,22.8123885012209
"12",2034,26.6503814381876
"13",2035,30.597982666148
"14",2036,34.5980695388445
"15",2037,38.6111727431711
"16",2038,42.6154762991737
"17",2039,46.6068175600497
"18",2040,50.5986872121484
"19",2041,54.6222292749709
"20",2042,58.7262411011697
"21",2043,62.9771733765493
"22",2044,67.459130120066
"23",2045,72.2738686838274
"24",2046,77.5407997530933
"25",2047,83.6803954304631
"26",2048,91.9067065235019
"27",2049,100.133017616541
"28",2050,108.359328709579
