"","results.years","results.price_ton_co2"
"1",2023,7.02880988321099
"2",2024,9.46182633483651
"3",2025,12.1114814168434
"4",2026,14.9322269146259
"5",2027,17.8836772713462
"6",2028,20.9306095879351
"7",2029,24.0429636230911
"8",2030,27.1818210717136
"9",2031,30.3207636129129
"10",2032,33.4597061541122
"11",2033,36.6111102583912
"12",2034,39.7912060960488
"13",2035,42.9782205911936
"14",2036,46.1584879188987
"15",2037,49.3283488145243
"16",2038,52.4941505737185
"17",2039,55.6722470524166
"18",2040,58.8889986668415
"19",2041,62.1807723935039
"20",2042,65.5939417692017
"21",2043,69.1848868910204
"22",2044,73.0199944163331
"23",2045,77.1756575628004
"24",2046,80.9887437299672
"25",2047,87.8313899748703
"26",2048,94.6740362197733
"27",2049,101.516682464676
"28",2050,108.359328709579
