"","results.years","results.price_ton_co2"
"1",2023,2.37371324519367
"2",2024,3.84616253709866
"3",2025,5.58325014062679
"4",2026,7.77955661055243
"5",2027,10.430375559751
"6",2028,13.4420587170791
"7",2029,16.7309639116632
"8",2030,20.2234550729002
"9",2031,23.8559022304572
"10",2032,27.5746815142712
"11",2033,31.3361751545498
"12",2034,35.1067714817704
"13",2035,38.8628649266807
"14",2036,42.5908560202987
"15",2037,46.2871513939126
"16",2038,49.958425371081
"17",2039,53.5827842148616
"18",2040,57.1911086314325
"19",2041,60.9007328905554
"20",2042,64.753324448705
"21",2043,68.7976842995906
"22",2044,73.0722337400806
"23",2045,77.5941306215294
"24",2046,82.4967433044395
"25",2047,87.8826731366609
"26",2048,93.8583088335009
"27",2049,100.540269352288
"28",2050,108.055271327549
