"","results.years","results.price_ton_co2"
"1",2023,66.4889745280934
"2",2024,67.7372712642261
"3",2025,68.979303201744
"4",2026,70.215094783555
"5",2027,71.4455030814072
"6",2028,72.6709020467247
"7",2029,73.8917909993012
"8",2030,75.1087398433953
"9",2031,76.3279385545786
"10",2032,77.5820280319149
"11",2033,78.8440594147485
"12",2034,80.0928710701883
"13",2035,81.3286050599741
"14",2036,82.5713884890327
"15",2037,83.860731270652
"16",2038,85.2546640473465
"17",2039,86.829527086543
"18",2040,88.6788723819736
"19",2041,90.9132627377688
"20",2042,93.6593940461886
"21",2043,97.0597772717531
"22",2044,101.272432077195
"23",2045,106.470044201458
"24",2046,112.840122125786
"25",2047,120.584784369433
"26",2048,129.921044087909
"27",2049,141.082580448543
"28",2050,154.326486632685
