"","results.years","results.price_ton_co2"
"1",2023,7.02880988321099
"2",2024,10.8689160497386
"3",2025,15.0411321062963
"4",2026,19.3636605270852
"5",2027,23.6979591156924
"6",2028,27.9106854675
"7",2029,31.9767362095714
"8",2030,35.9375221483619
"9",2031,39.794223654567
"10",2032,43.5091274041362
"11",2033,47.0919960352928
"12",2034,50.5965366725324
"13",2035,54.1169376092769
"14",2036,57.784727445716
"15",2037,61.7659221908364
"16",2038,65.4736108077552
"17",2039,72.6875948672358
"18",2040,79.6907755212258
"19",2041,86.4922596969751
"20",2042,93.1006371968225
"21",2043,99.524016889748
"22",2044,105.770059905395
"23",2045,111.846010116264
"24",2046,117.75872216308
"25",2047,123.514687251286
"26",2048,129.120056922766
"27",2049,134.580664985821
"28",2050,139.902047767742
